"","shrid2","first_park_year","treated_pc11_village_town_id","first_park_id"
"2251","11-33-606-05727-632266",1968,"632266",8061
"2252","11-33-607-05729-632567",2011,"632567",7977
"2253","11-33-607-05733-633315",2009,"633315",3882
"2254","11-33-607-05734-633426",99,"633426",NA
"2255","11-33-607-05735-633724",2009,"633724",7983
"2256","11-33-608-05736-803446",1967,"803446",7965
"2257","11-33-608-05737-803453",2004,"803453",7970
"2258","11-33-608-05738-633899",2017,"633899",8015
"2259","11-33-608-05740-634006",1993,"634006",7967
"2260","11-33-608-05740-634008",1993,"634008",4118
"2261","11-33-608-05740-634063",1967,"634063",7966
"2262","11-33-609-05745-634439",1980,"634439",8019
"2263","11-33-609-05747-634646",2014,"634646",8017
"2264","11-33-609-05747-634689",2006,"634689",4162
"2265","11-33-609-05747-634705",1977,"634705",8018
"2266","11-33-610-05751-803527",2011,"803527",3577
"2267","11-33-610-05752-635000",1991,"635000",8012
"2268","11-33-610-05752-803534",2006,"803534",4158
"2269","11-33-610-05753-635026",99,"635026",NA
"2270","11-33-610-05753-803542",1959,"803542",5473
"2271","11-33-610-05753-803544",1959,"803544",7963
"2272","11-33-611-05756-635093",1981,"635093",7994
"2273","11-33-612-05764-803589",1965,"803589",5431
"2274","11-33-612-05767-635467",99,"635467",NA
"2275","11-33-612-05767-803600",1965,"803600",5475
"2276","11-33-613-05768-635520",2016,"635520",4411
"2277","11-33-613-05768-635524",2016,"635524",8016
"2278","11-33-613-05769-635563",1993,"635563",7927
"2279","11-33-613-05769-803607",2007,"803607",4110
"2280","11-33-613-05769-803609",1974,"803609",7930
"2281","11-33-614-05779-803631",1974,"803631",7918
"2282","11-33-614-05780-636029",2009,"636029",7881
"2283","11-33-614-05780-636036",2003,"636036",7883
"2284","11-33-614-05780-636037",1974,"636037",7920
"2285","11-33-614-05780-803632",1974,"803632",4399
"2286","11-33-614-05780-803634",1974,"803634",7922
"2287","11-33-615-05783-636191",2009,"636191",7880
"2288","11-33-616-05787-636469",2014,"636469",7882
"2289","11-33-617-05789-636668",99,"636668",NA
"2290","11-33-617-05789-636674",99,"636674",NA
"2291","11-33-617-05789-803650",1971,"803650",7984
"2292","11-33-617-05790-803652",1972,"803652",7987
"2293","11-33-617-05791-636864",99,"636864",NA
"2294","11-33-617-05793-637107",2015,"637107",7986
"2295","11-33-617-05793-803664",99,"803664",NA
"2296","11-33-618-05795-637388",99,"637388",NA
"2297","11-33-618-05796-637496",2009,"637496",4407
"2298","11-33-618-05799-803674",1996,"803674",7897
"2299","11-33-620-05810-803693",1968,"803693",4724
"2300","11-33-620-05814-638821",1974,"638821",7900
"2301","11-33-620-05814-638836",2012,"638836",3602
"2302","11-33-620-05814-638837",99,"638837",NA
"2303","11-33-620-05814-638846",1996,"638846",7898
